,cv_predicted,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width
2593,trendy,ONLY Petite,ONLNELLA WRAP MIDI DRESS , Day dress,summer-dresses,30.99,green,,,Rib,,"70% polyester, 26% viscose, 4% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Laces,Cache-coeur,Striped,Elasticated waist,OP421C0D8-M11,Calf-length,Sleeveless,"51.5 "" (Size S)",Slim Fit,,
2594,edgy,Seidensticker,MIDI , Day dress,summer-dresses,129.99,black,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Shawl collar,,,Button,,Print,"Belt included, inseam pockets",3SE21C042-Q11,Knee-length,"27.0 "" (Size 10)","41.5 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","18.0 "" (Size 10)"
2595,girly,Mango,CAROL , Day dress,summer-dresses,49.99,pastel pink,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C",,,,Zip,Backless,Plain,,M9121C5IY-J11,Knee-length,Short,,Regular Fit,,
2596,classic,Even&Odd Petite,Day dress,,summer-dresses,15.99,black,,,Rib,,"95% cotton, 5% elastane",,"Do not tumble dry, machine wash at 30°C",,,,,Crew neck,Plain,,EVF21C01M-Q11,Extra short,Short,"32.5 "" (Size S)",,"Our model is 5' 6""  tall and is wearing size S",
2597,trendy,BOSS,DAPERA , Day dress,summer-dresses,279.0,yellow,,,,,"63% cotton, 32% polyester, 5% elastane",,"Clean with leather care products, do not tumble dry, Machine wash on gentle cycle",Standing collar,,,Drawstring fastening,,Plain,Belt included,BB121C0ED-E11,Short,Long,,Regular Fit,,
2598,girly,Lauren Ralph Lauren,Floral Chiffon Sleeveless Dress , Day dress,summer-dresses,219.99,pink,,,Chiffon,,"94% cotton, 6% elastane",100% polyester,Machine wash at 30°C,Shawl collar,,,Button,,Floral,"Elasticated waist, slip",L4221C1CX-J11,Short,Sleeveless,"37.0 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)"
2599,edgy,Alice + Olivia,Day dress,,summer-dresses,500.0,black/white,,,,,"48% cotton, 36% polyester, 15% acrylic, 1% nylon","94% polyester, 6% elastane",,Turn-down collar,,,Zip,,,"Zip fastening, inseam pockets, slip",A2N21C00J-Q11,Extra short,Sleeveless,"32.5 "" (Size 8)",Slim Fit,,"12.5 "" (Size 8)"
2600,girly,WAL G.,RIRI SKATER DRESS , Cocktail dress / Party dress,Cocktail Dresses,35.99,green,,,Jersey,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C",,Asymmetrical,,Zip,Cache-coeur,Plain,,WG021C0PD-M11,Extra short,"Sleeveless, spaghetti straps","35.5 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10",
2601,classic,Pieces,PCNAAJA WRAP DRESS , Day dress,summer-dresses,47.99,electric blue,,,,,100% polyester,,,,,,Laces,Cache-coeur,Plain,"Inseam pockets, bust darts",PE321C19J-K11,Calf-length,"25.0 "" (Size S)","47.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","13.0 "" (Size S)"
2602,sporty,Polo Ralph Lauren,Stretch Mesh Midi Polo Dress , Day dress,summer-dresses,159.99,pastel purple,,,PiquÃ©,,100% cotton,,Machine wash at 30°C,Polo shirt,,,,,Plain,,PO221C09Y-I11,Calf-length,Short,"51.0 "" (Size S)",Slim Fit,,
2603,edgy,YAS,YASMATILDA  , Cocktail dress / Party dress,Cocktail Dresses,54.99,dark green,,,,,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C",Turn-down collar,,,Button,,Plain,Slip,Y0121C1QQ-M11,Calf-length,"25.5 "" (Size S)","49.0 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S",
2604,girly,Needle & Thread,ROCOCO MAXI DRESS , Occasion wear,Occasion dresses,264.99,pastel yellow,,,Tulle,,100% polyester,100% polyester,Dry clean only,,,,Zip,Crew neck,Floral,"Slip, sequins, border, embroidery",NT521C0EV-A11,Long,Short,"59.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
2605,unknown,Sista Glam,TORI , Cocktail dress / Party dress,Cocktail Dresses,69.99,blue,,,Jersey,,"95% polyester, 5% elastane",,"Machine wash at 40°C, do not tumble dry, Machine wash on gentle cycle",,Asymmetrical,,Zip,Low-cut v-neck,Plain,Bust darts,SID21C071-K11,Knee-length,Extra short,"43.5 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",
2606,trendy,Roksanda,DEIDRA DRESS , Day dress,summer-dresses,850.0,bright multi-coloured,,,,,100% cotton,,"Machine wash at 30°C, do not tumble dry",,,,Zip,Low-cut v-neck,Plain,Inseam pockets,R9821C01N-G11,Knee-length,Elbow length,"36.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","17.5 "" (Size 10)"
2607,girly,WAL G.,TESSA MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,35.99,pastel pink,,,Jersey,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C",,,,Zip,Backless,Plain,,WG021C0QN-J11,Knee-length,Spaghetti straps,"43.0 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10",
2608,sporty,Lacoste,EXCLUSIVE , Day dress,summer-dresses,144.99,black,,,Sweat,,"83% cotton, 17% polyester",,"Machine wash at 40°C, do not tumble dry",,,,,Crew neck,Plain,Elasticated waist,LA221C05L-Q11,Short,"23.5 "" (Size 8)","36.0 "" (Size 8)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 8",
2609,alternative,byTiMo,BABYDOLL DRESS , Day dress,summer-dresses,289.99,dark green,,,Cord,,100% cotton,,"Do not tumble dry, machine wash at 30°C",,,,,Low-cut v-neck,Plain,,BYH21C01Q-K11,Short,3/4 length,"32.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","17.5 "" (Size S)"
2610,casual chic,The Kooples,ROBE COURTE DRAPEEEN IMPRIME FLOWERS  , Cocktail dress / Party dress,Cocktail Dresses,344.99,black/red,,,Chiffon,,100% silk,,Hand wash only,,,,Zip,Cache-coeur,Paisley,,THA21C0AX-G11,Extra short,"18.0 "" (Size 8)","27.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
2611,edgy,River Island Maternity,Cocktail dress / Party dress,,Cocktail Dresses,41.99,black,,,Velvet/velour,,"94% polyester, 6% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,Button,,Marl,,RIL29F00B-Q11,Short,"25.0 "" (Size 10)","34.5 "" (Size 10)",Regular Fit,,
2612,unknown,Bec & Bridge,NADIA DRESS , Occasion wear,Occasion dresses,324.99,brown,,,Satin,,100% polyester,,Dry cleaning,,,,Zip,Backless,Plain,Bust darts,BEU21C03I-O11,Long,Spaghetti straps,"61.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",
2613,edgy,Closet,LONDON PUFF SLEEVE DRESS , Cocktail dress / Party dress,Cocktail Dresses,74.99,bordeaux,,,Velvet/velour,,"92% polyester, 8% elastane",,"Do not tumble dry, machine wash at 30°C",,,,Zip,Cache-coeur,Plain,,CL921C0TD-I11,Extra short,"21.5 "" (Size 10)","35.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10",
2614,classic,Maya Deluxe,V NECK WRAP SKIRT EMBELLISHED DRESS WITH BELT , Occasion wear,Occasion dresses,124.99,black,,,Tulle,,100% polyester,100% polyester,Hand wash only,,,,Zip,Low-cut v-neck,,"Sequins, bow, rhinestones",M2Z21C09B-Q11,Long,Sleeveless,"58.0 "" (Size 8)",Slim Fit,,
2615,trendy,The Kooples,DRESS , Cocktail dress / Party dress,Cocktail Dresses,274.99,black,,,,,100% wool,"68% acetate, 32% polyester",Dry clean only,Lapel collar,,,Button,,Plain,Shoulder pads,THA21C09X-Q11,Short,"24.0 "" (Size 8)","34.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 8)"
2616,trendy,Cinq Ã  Sept,BELITA DRESS , Cocktail dress / Party dress,Cocktail Dresses,290.0,white,,,,Semi-sheer,"93% polyester, 7% polyurethane","95% polyester, 5% elastane",Dry clean only,Turn-down collar,,,Zip,Cache-coeur,Plain,"Bust darts, slip",CIG21C00W-A11,Extra short,"24.0 "" (Size 8)","33.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","13.0 "" (Size 8)"
2617,classic,Roksanda,ROSEMARY DRESS , Day dress,summer-dresses,,pink,,,,,"60% acetate, 40% polyester","73% acetate, 27% silk",Dry clean only,,,,Zip,Boat neck,Plain,"Border, bust darts, slip",R9821C021-J11,Calf-length,Sleeveless,"50.0 "" (Size 10)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 10","15.5 "" (Size 10)"
2618,alternative,Faithfull the brand,MARINELLI MINI DRESS , Day dress,summer-dresses,160.0,black,,,,,100% cotton,,Hand wash only,,,,,Square neck,Plain,,F0O21C02E-Q11,Extra short,Elbow length,"30.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
2619,classic,Pieces Maternity,PCMSALIA PUFF SLEEVED DRESS , Day dress,summer-dresses,43.99,denim,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,Button,,,,PIV29F006-K11,Short,"25.5 "" (Size 8)","39.5 "" (Size 8)",Loose Fit,,"14.0 "" (Size 8)"
2620,classic,2nd Day,POLLY  , Day dress,summer-dresses,209.99,black/white,,,,,100% polyester,,,,,,Button,Crew neck,Print,,S3821C05W-Q11,Calf-length,"19.0 "" (Size 8)","53.0 "" (Size 8)",Regular Fit,,"14.5 "" (Size 8)"
2621,edgy,ONLY Petite,ONLASTRID A SHAPE SHORTDRESS , Day dress,summer-dresses,30.99,black multi-coloured,,,,Semi-sheer,100% polyester,,"Machine wash at 40°C, do not tumble dry, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,Button,Crew neck,Floral,,OP421C0C2-J11,Extra short,"23.0 "" (Size S)","30.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","13.0 "" (Size S)"
2622,unknown,WAL G.,V NECK SKATER , Cocktail dress / Party dress,Cocktail Dresses,33.99,black,,,"Jersey, Lace",,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30°C",,,,Zip,Low-cut v-neck,Plain,"Padded bust, wired bustier",WG021C0AH-Q11,Extra short,Sleeveless,"33.5 "" (Size 10)",Fitted waist,"Our model is 5' 11""  tall and is wearing size 10",
2623,girly,IVY & OAK BRIDAL,VINTAGE DRESS MIDI , Occasion wear,Occasion dresses,279.99,white,,,Lace,,"63% cotton, 37% polyamide","65% cotton, 32% polyamide, 3% elastane",Dry clean only,,,,Zip,Crew neck,Plain,"Adjustable straps, slip",IV521C023-A11,Calf-length,"19.5 "" (Size 8)","47.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",
2624,trendy,Glamorous,DRESS WITH PLUNGE NECKLINE & 3/4 PUFF SLEEVES , Day dress,summer-dresses,43.99,bright multi-coloured,,,,,100% polyester,,Machine wash at 30°C,,,,Button,Low-cut v-neck,Print,,GL921C0S3-J11,Calf-length,"17.5 "" (Size 8)","47.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)"
2625,girly,Lauren Ralph Lauren,GLENDON LONG SLEEVE DRESS , Cocktail dress / Party dress,Cocktail Dresses,244.99,silver,,,,,"53% cotton, 41% viscose, 6% elastane","95% polyester, 5% elastane",Hand wash only,,,,Zip,Cache-coeur,Plain,Slip,L4221C1CC-C11,Calf-length,"24.5 "" (Size 10)","41.5 "" (Size 10)",Slim Fit,,
2626,classic,Rich & Royal,DRESS PRINTED , Day dress,summer-dresses,114.99,navy,,,Tulle,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,,Slip,RI521C04R-K11,Calf-length,"23.0 "" (Size S)","53.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
2627,casual chic,Marc Cain,Day dress,,summer-dresses,324.99,black,,,Satin,,100% viscose,"97% polyester, 3% elastane","Hand wash only, Dry cleanable",Turn-down collar,,,Button,,Print,"Belt included, inseam pockets, slip",M4R21C06Z-Q11,Calf-length,"25.0 "" (Size 10)","48.0 "" (Size 10)",Regular Fit,,"15.5 "" (Size 10)"
2628,alternative,Mango,NINETIES , Cocktail dress / Party dress,Cocktail Dresses,199.99,red,,,,,100% silk,,"Do not tumble dry, Hand wash only, Dry cleanable",,,,,Crew neck,Plain,,M9121C5FP-G11,Calf-length,Spaghetti straps,,Slim Fit,,
2629,trendy,Vila,VISIXTY BUTTON SHORT DRESS , Day dress,summer-dresses,25.99,purple,,,,,"97% polyester, 3% elastane",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",Turn-down collar,,,Button,,Plain,,V1021C2VD-I11,Short,Long,,Slim Fit,,
2630,classic,NAF NAF,ELWAN , Cocktail dress / Party dress,Cocktail Dresses,69.99,bordeaux,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Low-cut v-neck,Plain,,NA521C17Y-G11,Knee-length,"25.0 "" (Size 8)","34.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","13.0 "" (Size 8)"
2631,alternative,Missguided,TIE STRAP MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,27.99,navy,,,Velvet/velour,,"95% polyester, 5% elastane",,"Machine wash at 30°C, Machine wash on gentle cycle",,,,,Square neck,Plain,Adjustable straps,M0Q21C23G-K11,Knee-length,Sleeveless,"33.5 "" (Size 8)",Bodycon,"Our model is 5' 10""  tall and is wearing size 8",
2632,classic,Swing,DRESS , Cocktail dress / Party dress,Cocktail Dresses,139.99,navy,,,Lace,,100% polyamide,"97% polyester, 3% elastane",,,,,Zip,Crew neck,Plain,Slip,SG721C0LS-K11,Knee-length,"18.5 "" (Size 10)","37.0 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10",
2633,alternative,Esprit,STRAND AUS LENZINGâ„¢ ECOVEROâ„¢ , Day dress,summer-dresses,45.0,pink,,,,,100% viscose,,"Do not bleach, do not tumble dry, machine wash at 40°C",,,,,Low-cut v-neck,Print,Elasticated waist,ES121C24T-H11,Calf-length,Short,,,,
2634,classic,Kaffe Curve,PASSA AMI DRESS , Day dress,summer-dresses,64.99,black,,,,Semi-sheer,100% viscose,,,,,,,V-neck,Paisley,Inseam pockets,KAN21C01G-T11,Calf-length,Short,"54.5 "" (Size 16)",Regular Fit,,"15.0 "" (Size 16)"
2635,edgy,JDY Tall,JDYNELSON LIFE SHORT DRESS , Day dress,summer-dresses,30.99,denim,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Mandarin collar,,,Button,,,,JD521C001-K11,Knee-length,"25.0 "" (Size 8)","34.0 "" (Size 8)",Regular Fit,,"15.5 "" (Size 8)"
2636,edgy,SamsÃ¸e SamsÃ¸e,CILLA DRESS , Day dress,summer-dresses,149.99,brown,,,,,"98% polyester, 2% elastane",,"Do not tumble dry, machine wash at 30°C",,,,Zip,Backless,Plain,Bust darts,SA321C0EY-N11,Calf-length,Sleeveless,"51.0 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S","13.0 "" (Size S)"
2637,trendy,Never Fully Dressed Petite,STUDIO MONIQUE DRESS , Day dress,summer-dresses,94.99,bright multi-coloured,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Low-cut v-neck,Floral,Slip,NEZ21C01T-T11,Extra short,"25.5 "" (Size 8)","31.5 "" (Size 8)",Loose Fit,,"14.0 "" (Size 8)"
2638,edgy,ONLY,ONLDIAZ DRESS  , Day dress,summer-dresses,34.99,black/red,,,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",,,,,Square neck,Floral,Slip,ON321C2PK-G11,Short,Long,,Slim Fit,,
2639,trendy,Athleta,BALANCE DRESS , Day dress,summer-dresses,59.49,black,,,Sweat,,"69% lyocell, 15% cotton, 10% modal, 6% elastane",,"Machine wash at 30°C, Machine wash on gentle cycle",,,Sleeve pocket,,Crew neck,Plain,Inseam pockets,ATI41G00P-Q11,Short,"25.0 "" (Size 8/10)","34.5 "" (Size 8/10)",Regular Fit,,
2640,girly,Guess,ZAMA DRESS , Day dress,summer-dresses,114.99,black,,,,,"52% cotton, 48% polyester","92% polyester, 8% elastane","Do not tumble dry, Hand wash only",,,,Laces,Cache-coeur,Polka dot,Slip,GU121C12R-Q11,Short,"13.5 "" (Size S)","36.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",
2641,girly,ONLY Tall,ONLPEMA KARMEN LIFE , Day dress,summer-dresses,25.99,denim,,,,,100% lyocell,,"Do not tumble dry, machine wash at 30°C",,,,,Low-cut v-neck,,Bust darts,OND21C079-K11,Knee-length,Sleeveless,"39.0 "" (Size S)",Regular Fit,,"14.0 "" (Size S)"
2642,classic,Vila,VIFALIAS  WRAP DRESS , Day dress,summer-dresses,39.99,navy,,,,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Cache-coeur,Paisley,,V1021C2Y4-K11,Calf-length,"25.0 "" (Size 8)","50.5 "" (Size 8)",Regular Fit,,"16.0 "" (Size 8)"
2643,trendy,Anna Field Tall,Day dress,,summer-dresses,34.99,dark green,,,Jersey,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Cache-coeur,Floral,,ANH21C00N-M11,Calf-length,Short,"51.0 "" (Size S)",Regular Fit,,
2644,casual chic,Anna Field,Cocktail dress / Party dress,,Cocktail Dresses,29.74,black,"95% polyester, 5% elastane",,,,"68% viscose, 28% polyester, 4% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,,Bust darts,AN621C1L6-Q12,Knee-length,"20.5 "" (Size 8)","37.5 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",
2645,girly,Hollister Co.,TWIST SHORT DRESS , Day dress,summer-dresses,,pastel blue,,,,,100% viscose,100% polyester,Machine wash at 30°C,,,,,Backless,Floral,,H0421C04X-K11,Short,"Long, short","33.0 "" (Size SxL)",Regular Fit,"Our model is 5' 10""  tall and is wearing size SxL",
2646,classic,Tommy Hilfiger,F&F SHORT LS , Day dress,summer-dresses,118.99,black,,,,,100% viscose,,"Machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Print,,TO121C0K3-G11,Short,"25.0 "" (Size 8)","37.0 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8",
2647,trendy,Victoria Beckham,MINI DRESS , Cocktail dress / Party dress,Cocktail Dresses,345.0,navy,,,Knit,,"81% viscose, 12% polyester, 7% metal",,Dry clean only,Polo neck,,,,,Marl,,V0921C028-K11,Short,"27.5 "" (Size S)","34.0 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S",
2648,classic,Nly by Nelly,OPEN BACK DRESS , Cocktail dress / Party dress,Cocktail Dresses,54.99,red,,,,,"92% polyester, 4% metal, 4% elastane",,"Do not tumble dry, machine wash at 30°C",Standing collar,,,Button,Backless,Plain,Sequins,NEG21C0HQ-G11,Calf-length,"27.5 "" (Size S)","49.0 "" (Size S)",Bodycon,"Our model is 5' 10""  tall and is wearing size S",
2649,girly,Esprit Collection,EMBROID , Cocktail dress / Party dress,Cocktail Dresses,,blue,,,Mesh,Semi-sheer,100% polyamide,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Crew neck,Floral,Belt included,ES421C1JB-K11,,"23.0 "" (Size S)","38.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
2650,edgy,ONLY,ONLLIVIA DRESS , Day dress,summer-dresses,34.99,denim,,,Denim,,"72% cotton, 23% polyester, 3% viscose, 2% elastane",,Machine wash at 30°C,Turn-down collar,,Side pockets,Button,,,,ON321C2PL-K11,Knee-length,Sleeveless,"40.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)"
2651,unknown,Morgan,RDOT , Day dress,summer-dresses,54.99,black/white,,,Jersey,,"93% polyester, 7% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Cache-coeur,,,M5921C0ZO-Q11,Short,Elbow length,"35.5 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10",
2652,edgy,VILA CURVE,VIADELINE DRESS , Day dress,summer-dresses,29.74,black,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Animal print,"Belt included, bust darts, slip",V0H21C00M-Q11,Knee-length,"24.0 "" (Size 26)","41.5 "" (Size 26)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 26","17.5 "" (Size 26)"
2653,trendy,WAL G.,ZALORA ONE SLEEVE SKATER DRESS , Cocktail dress / Party dress,Cocktail Dresses,37.99,red,,,,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C",,,,Zip,,Plain,Padded bust,WG021C0RF-G11,Short,"Strapless, short","34.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10",
2654,girly,ONLY Carmakoma,CARDIDDE PUFF KNEE DRESS , Day dress,summer-dresses,28.99,black,,,Jersey,Semi-sheer,100% polyester,,"Do not tumble dry, machine wash at 30°C",,,,,Crew neck,Plain,,ONA21C0CU-Q11,Knee-length,Short,"39.0 "" (Size S-14/16)",Loose Fit,"Our model is 5' 8""  tall and is wearing size S-14/16",
2655,girly,2nd Day,LORETTA , Day dress,summer-dresses,94.99,white,,,,Semi-sheer,100% cotton,,"Do not tumble dry, machine wash at 30°C",,,,Button,Crew neck,Plain,,S3821C061-A11,Short,Short,"35.0 "" (Size 8)",Loose Fit,,"13.0 "" (Size 8)"
2656,edgy,VILA CURVE,VIPALLA V,NECK ,summer-dresses,34.99,black,,,,,"95% polyester, 5% elastane",,Machine wash at 30°C,,,,Laces,Low-cut v-neck,Plain,,V0H21C00Y-Q11,Short,"26.0 "" (Size 18)","37.0 "" (Size 18)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 18","17.5 "" (Size 18)"
2657,edgy,Expresso,Day dress,,summer-dresses,124.99,red,,,,,100% polyester,"95% viscose, 5% elastane","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,Button,,Checked,"Belt included, bust darts, slip",EX121C0AV-G11,Calf-length,Long,"47.0 "" (Size 8)",Regular Fit,,"15.0 "" (Size 8)"
