"Out of the following color options, which would you be least likely to wear? Limit your choices to max. 10 options.","Out of the following prints, which would you be least likely to wear? There is no choice limitation.","Out of the following necklines, which would you be least likely to wear? There is no choice limitation.","Out of the following collars, which would you be least likely to wear? There is no choice limitation.","Out of the following materials, which would you be least likely to wear? There is no choice limitation.","Out of the following dress types, which would you be least likely to wear? There is no choice limitation.","Out of the following skirt lengths, which would you be most likely to wear? There is no choice limitation.","Out of the following color options, which would you be most likely to wear? Limit your choices to max. 10 options.",What type of fit(s) do you prefer?,"Out of the following sleeve lengths types, which would you be most likely to wear? There is no choice limitation.","What Zalando brands do you typically buy? If you have other favorite brands, you can indicate them in the last text box. - Selected Choice","What Zalando brands do you typically buy? If you have other favorite brands, you can indicate them in the last text box. - Other options: - Text",What is your opinion on sequins/rhinestones?,What is your opinion on shoulder pads?,Are pockets in a dress important to you?,Do you like backless dresses?,Do you like sheer dresses?,What budget do you typically spend on dresses?,What is your height (+-)?,What is your age? You can leave this blank if you would rather not say.,Dress 1/20 How likely is it that you would wear this dress?,Dress 2/20 How likely is it that you would wear this dress?,Dress 3/20. How likely is it that you would wear this dress?,Dress 4/20. How likely is it that you would wear this dress?,Dress 5/20. How likely is it that you would wear this dress?,Dress 6/20. How likely is it that you would wear this dress?,Dress 7/20. How likely is it that you would wear this dress?,Dress 8/20 How likely is it that you would wear this dress?,Dress 9/20. How likely is it that you would wear this dress?,Dress 10/20. How likely is it that you would wear this dress?,Dress 11/20. How likely is it that you would wear this dress?,Dress 12/20. How likely is it that you would wear this dress?,Dress 13/20. How likely is it that you would wear this dress?,Dress 14/20. How likely is it that you would wear this dress?,Dress 15/20. How likely is it that you would wear this dress?,Dress 16/20. How likely is it that you would wear this dress?,Dress 17/20. How likely is it that you would wear this dress?,Dress 18/20. How likely is it that you would wear this dress?,Dress 19/20. How likely is it that you would wear this dress?,Dress 20/20. How likely is it that you would wear this dress?,"What styles do you identify most with? Limit yourself to picking three looks"
"Brown,Pastel yellow,Sand,Stone","Paisley","Square neckline","Peter pan collar","Jersey,Lace","Hooded dresses,Polo dresses","Short,Thigh length,Knee length,Calf length,Maxi/long","Army green,Black,Blue,Burgundy,Dark green,Dusty pink,Electric blue,Gold,Green,Navy,Orange,Pastel orange,Pastel pink,Pastel purple,Pink,Purple,Red,Silver,White,Yellow","Slim fit,Regular fit","Strapless,Short,One shoulder,Elbow length,Long","Only,Mango,Vila,Other options:","Even&Odd",Neutral,Neutral,No,Yes,Neutral,"â‚¬40-80,â‚¬80-120","1,63 cm",46,1- Very unlikely to wear,3- Neutral,3- Neutral,3- Neutral,3- Neutral,2- Unlikely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,5- Very likely to wear,4- Likely to wear,5- Very likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Dusty pink,Gold,Grey,Pastel green,Pastel orange,Pastel pink,Pastel purple,Pastel yellow,Pink,Sand,Silver","Checked,Striped","Henley neckline,Cowl neckline,Square neckline,Spaghetti straps","Mandarin collar,Peter pan collar,Bow/shawl collar,Zip neck collar,Standing collar","Denim,Leather","Accentuating the waist,Wrap dresses,Bodycon dresses,Hooded dresses,Polo dresses,Button down dresses","Thigh length,Knee length","Army green,Black,Blue,Burgundy,Brown,Burnt orange,Dark green,Green,Navy","Regular fit,Loose fit","Sleeveless,Short,Elbow length,Long","Other options:","None of these",Neutral,Negative,No,No,Neutral,"â‚¬40-80,â‚¬80-120",1m56,41,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,"Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Electric blue,Green,Off-white,Pastel orange,White,Yellow","Animal print,Paisley,Polka dot","I like every neckline","Peter pan collar,Volant/frill collar,Standing collar","I don't have a preference on materials","Bodycon dresses,Polo dresses","Extra short","Army green,Blue,Burgundy,Burnt orange,Navy,Red",I don't have a preference,"Sleeveless,Short,Elbow length,Long","Only,Vila,Esprit",,Neutral,Negative,Neutral,Neutral,No,â‚¬40-80,163 cm,44,3- Neutral,4- Likely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,5- Very likely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,3- Neutral,5- Very likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare,Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Gold,Off-white,Pastel purple,Pastel yellow,Purple,Sand,Silver,Stone,White,Yellow","Checked,Small floral,Striped,Polka dot,Prints in general","Henley neckline,Round neckline,Spaghetti straps","Mandarin collar,Peter pan collar,Bow/shawl collar,Zip neck collar","Denim,Lace,Satin,Silk","Bodycon dresses,Pleated dresses","Thigh length,Knee length,Calf length,Maxi/long","Army green,Black,Blue,Burgundy,Brown,Burnt orange,Electric blue,Navy,Pink","Regular fit,Loose fit","Sleeveless,Short,Elbow length,Long","Only,Desigual,Vila,Esprit,Tommy Hilfiger",,Negative,Neutral,Yes,Neutral,Neutral,â‚¬80-120,164,47,3- Neutral,5- Very likely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,5- Very likely to wear,4- Likely to wear,3- Neutral,3- Neutral,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style"
"I like all these colors","Paisley,Prints in general","Square neckline","Mandarin collar,Peter pan collar","Lace","Wrap dresses,Bodycon dresses","Extra short","Black,Electric blue,Green,Orange,Pastel purple,Pink,Purple,Red,White,I like all these colors",Regular fit,"Sleeveless,Short,Long","Mango,Marlene Birger,Vila,Pinko",,Neutral,Positive,Neutral,No,Neutral,> â‚¬200,170,51,5- Very likely to wear,5- Very likely to wear,2- Unlikely to wear,3- Neutral,1- Very unlikely to wear,5- Very likely to wear,5- Very likely to wear,4- Likely to wear,3- Neutral,5- Very likely to wear,4- Likely to wear,5- Very likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,5- Very likely to wear,5- Very likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Dusty pink,Gold,Off-white,Orange,Pastel orange,Pastel pink,Pastel purple,Pink,Purple,Sand","Animal print,Checked,Large floral,Polka dot","Cowl neckline,Low round neckline,Square neckline,Spaghetti straps","Peter pan collar,Bow/shawl collar,Zip neck collar,Volant/frill collar,Standing collar","Leather,Satin","Bodycon dresses,Hooded dresses,Button down dresses","Short,Thigh length,Knee length,Calf length","Army green,Blue,Brown,Dark green,Electric blue,Green,Navy,Red,Yellow",Slim fit,"Sleeveless,Short,Elbow length,Long","Marc'o polo,Other options:","Numph ",Negative,Negative,Neutral,Neutral,No,"â‚¬40-80,â‚¬80-120,â‚¬120 - 200",168 cm,23,1- Very unlikely to wear,5- Very likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,5- Very likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Dusty pink,Off-white,Pastel blue,Pastel green,Pastel pink,Pastel yellow,Pink,Sand,Yellow","Paisley,Striped","Square neckline","Peter pan collar,Zip neck collar,Standing collar","Leather,Linnen","Wrap dresses,Bodycon dresses,Pleated dresses","Knee length,Calf length,Maxi/long","Black,Burgundy,Burnt orange,Grey,Navy,Red",Regular fit,"Sleeveless,Short,Elbow length,Long","Other options:","Paprika",Negative,Negative,Yes,No,Neutral,â‚¬40-80,180,39,4- Likely to wear,3- Neutral,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Sporty - Adaptation of activewear, comfort focused,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Gold,Purple,Silver","Animal print,Checked,Striped,Polka dot","Henley neckline","Mandarin collar,Peter pan collar,Bow/shawl collar,Zip neck collar,Standing collar","Leather,Jersey,Satin,Silk,Wool","Bodycon dresses,Hooded dresses,Polo dresses","Calf length,Maxi/long","Blue,Dusty pink,Electric blue,Green,Pastel blue,Pastel green,Pastel pink,Pink,Red,Sand,Yellow","Regular fit,Loose fit","Sleeveless,Short,Elbow length","Only,Other options:","Anna field, Dorothy Perkins, Ulla Poolen, MS mode, only ",Neutral,Negative,Yes,Yes,Neutral,< â‚¬40,173cm,34,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,1- Very unlikely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Burgundy,Brown,Burnt orange,Gold,Pastel purple,Purple,Red,Silver","I don't like any of these prints (you prefer plain clothing)","Cowl neckline,Square neckline,Spaghetti straps","Peter pan collar,Bow/shawl collar,Zip neck collar,Volant/frill collar","Leather,Jersey,Sweat,Lace,Satin","Wrap dresses,Bodycon dresses,Hooded dresses,Polo dresses,Pleated dresses","Knee length,Calf length,Maxi/long","Black,Navy,Off-white,Orange,Pastel blue,Pastel green,Pastel pink,Stone","Regular fit,Loose fit","Short,Elbow length,Long","Marlene Birger,Hugo Boss,Lacoste",,Neutral,Negative,Yes,No,Neutral,"â‚¬120 - 200,> â‚¬200",168,49,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,3- Neutral,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,"Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Army green,Burgundy,Dark green,Gold,Green,Grey,Pastel orange,Pastel purple,Pastel yellow,Purple","Animal print,Large floral,Paisley,Prints in general","Henley neckline,Round neckline","Lapel collar,Mandarin collar,Peter pan collar,Bow/shawl collar,Zip neck collar,Volant/frill collar,Standing collar","I don't have a preference on materials","Accentuating the waist,Wrap dresses,Bodycon dresses,Hooded dresses,Pleated dresses","Thigh length,Knee length","Black,Navy",I don't have a preference,"Sleeveless,Short,Elbow length","Other options:","Lio jo",Neutral,Negative,No,Neutral,No,â‚¬120 - 200,165,44,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style"
"Electric blue,Green,Purple","Animal print,Paisley,Polka dot","Henley neckline,Low round neckline,Square neckline","Mandarin collar,Peter pan collar,Zip neck collar,Standing collar","Sweat,Wool","Accentuating the waist,Hooded dresses,Polo dresses,Button down dresses","Extra short,Short,Maxi/long","Burgundy,Brown,Dusty pink,Off-white,Pastel blue,Pink",Loose fit,"Sleeveless,Short,One shoulder","Only,Superdry,Esprit",,Negative,Neutral,No,Yes,No,< â‚¬40,167,42,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,5- Very likely to wear,1- Very unlikely to wear,2- Unlikely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Army green,Pastel green,Pastel yellow,I like all these colors","Paisley,Polka dot","Henley neckline,Boat neckline (wide)","Mandarin collar,Peter pan collar","Denim","Hooded dresses,Button down dresses","Short,Maxi/long","Black,Brown,Electric blue,Off-white,Orange,Pastel blue,Pastel pink,Pastel purple,Pink,White",I don't have a preference,"One shoulder,Elbow length,Long","Mango,NA-KD",,Positive,Positive,Neutral,Yes,Neutral,< â‚¬40,168,22,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,3- Neutral,3- Neutral,3- Neutral,2- Unlikely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,3- Neutral,2- Unlikely to wear,5- Very likely to wear,3- Neutral,4- Likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"I like all these colors","Large floral,Paisley,Striped,Polka dot,Prints in general","Square neckline","Peter pan collar,Zip neck collar,Volant/frill collar,Standing collar","Satin","Hooded dresses,Polo dresses,Button down dresses","Extra short,Thigh length,Maxi/long","I like all these colors","Slim fit,Regular fit","Sleeveless,Short,Elbow length,Long","Only,Mango,NA-KD",,Neutral,Negative,No,Yes,Yes,"â‚¬40-80,â‚¬80-120",160,21,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,5- Very likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Burgundy,Dusty pink,Electric blue,Off-white,Pastel blue,Pastel pink,Pastel purple,Pastel yellow,Purple,Silver,Stone","Paisley,Striped,I don't like any of these prints (you prefer plain clothing)","Cowl neckline,Spaghetti straps","Peter pan collar,Zip neck collar,Volant/frill collar","Leather,Jersey,Satin","Accentuating the waist,Wrap dresses,Pleated dresses","Thigh length,Knee length,Calf length","Black,Dark green,Green,Grey",I don't have a preference,"Elbow length,Long","Other options:",,Neutral,Negative,No,No,Neutral,â‚¬80-120,170,54,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,4- Likely to wear,5- Very likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,"Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Green,Orange","Checked,Paisley,Polka dot","Henley neckline,Round neckline,V-neck,Boat neckline (wide)","Mandarin collar,Peter pan collar,Bow/shawl collar,Zip neck collar,Standing collar","Leather","Wrap dresses,Bodycon dresses","Knee length,Calf length,Maxi/long","Army green,Black,Dark green,Dusty pink,Gold,Grey,Navy,Off-white,Pastel blue,Pastel green,Pastel orange,Pastel pink,Pastel purple,Pastel yellow,Pink,Purple,Red,Sand,Stone","Regular fit,Loose fit","Sleeveless,Short,Elbow length,Long","Only,Mango,Desigual,Vila,Superdry,River Island,Esprit,Pieces",,Neutral,Negative,Neutral,No,Neutral,â‚¬80-120,1m77,42,2- Unlikely to wear,3- Neutral,4- Likely to wear,3- Neutral,1- Very unlikely to wear,5- Very likely to wear,4- Likely to wear,5- Very likely to wear,4- Likely to wear,5- Very likely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,5- Very likely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Burgundy,Brown,Grey,Pastel blue,Silver","Paisley","Henley neckline,Spaghetti straps","Peter pan collar,Zip neck collar,Volant/frill collar,Standing collar","Wool","Bodycon dresses,Hooded dresses,Pleated dresses","Short,Thigh length,Maxi/long","Black,Blue,Dusty pink,Off-white,Pastel green,Pastel purple,Purple,Stone,White",Regular fit,"Elbow length","Mango,NA-KD",,Neutral,Neutral,No,Yes,Neutral,"â‚¬40-80,â‚¬80-120",1m68,30,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,5- Very likely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,"Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Gold,Green,Pastel orange,Pastel pink,Pastel purple,Pink,Purple,Silver,Yellow","Small floral,Large floral,Prints in general","Round neckline,Low round neckline","Peter pan collar","I don't have a preference on materials","Hooded dresses,Polo dresses","I like all lengths","Army green,Black,Burgundy,Brown,Burnt orange,Dark green,Dusty pink,Navy,Off-white,Stone",Slim fit,"Strapless,Short,One shoulder,Elbow length,Long","Mango",,Neutral,Negative,Neutral,Yes,Yes,â‚¬80-120,172,23,2- Unlikely to wear,5- Very likely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,5- Very likely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Edgy - Transmits boldness, characterized by dark colors, leather, animal print, plaidâ€¦,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare,Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Army green,Brown,Burnt orange,Dark green,Pastel orange,Pastel purple,Sand,Stone","Paisley,Striped","Henley neckline,Cowl neckline,Low round neckline,Spaghetti straps","Mandarin collar,Peter pan collar,Bow/shawl collar,Zip neck collar","Linnen","Bodycon dresses,Hooded dresses,Polo dresses","Thigh length,Knee length,Maxi/long","Black,Dusty pink,Gold,Navy,Pink,Red",Regular fit,"Short,Elbow length,Long","Ralph Lauren,Diane von Furstenberg",,Positive,Negative,Neutral,No,No,> â‚¬200,172,41,1- Very unlikely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,5- Very likely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,5- Very likely to wear,2- Unlikely to wear,5- Very likely to wear,5- Very likely to wear,5- Very likely to wear,"Classic - Timeless in nature, being a more formal and conservative style"
