"predict","alternative","casual chic","classic","edgy","girly","sporty","trendy","C1","Unnamed: 0","Brand","Dress name ","Price","Price Category","Color","Fabric","Outer fabric material","Lining","Care instructions","Collar","Cut","Fastening","Type of dress","Neckline","Consolidated Prints","Details","Dress length","Sleeve length","Consolidated sleeve length","Total length","Fit","Consolidated fit","Our model's height","Back width","Sheer?","Pockets?","Rhinestones?","Shoulderpads?","Backless?","cv_predicted"
"trendy",5.410030904629941E-12,3.786019725510532E-8,0.29413229206026525,0.059022463264761224,0.015512653767734969,3.76566938201007E-14,0.6313325530415936,2913,3850,"WAL G.","DETAIL MINI DRESS ",48.99,2,"black","Lace","95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C","Standing collar",,"Button","Bodycon dresses",,"Plain","Bust darts, padded bust, slip","Extra short","25.0 "" (Size 10)","Long","36.5 "" (Size 10)","Bodycon","Slim fit","Our model is 5' 9""  tall and is wearing size 10",,"No","No","No","No","No","classic"
"classic",4.4449799773652493E-4,0.02710268375097161,0.9486779094473067,2.5870231167791873E-6,0.0021378339267829425,3.254732546375578E-16,0.02163448785408509,2914,3851,"Esprit","Cocktail dress / Party dress",75.0,2,"purple","Satin","100% viscose","100% viscose","Do not bleach, do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Zip","Wrap dresses","Low v-neck","Plain","Belt included, slip","Calf length","3/4 length","Elbow length",,"Regular Fit","Regular fit",,,"No","No","No","No","No","trendy"
"trendy",4.363314706243184E-4,0.023390254666611633,9.156711162161507E-5,2.2441611923904058E-8,0.03999049724846812,8.096223904909803E-10,0.93609132625144,2915,3852,"Never Fully Dressed","Cocktail dress / Party dress",119.99,3,"bright multi-coloured",,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Bow/shawl collar",,"Laces","Wrap dresses","Low v-neck",,"Bust darts","Short","24.0 "" (Size S)","Long","33.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size S",,"No","No","No","No","No","trendy"
"edgy",4.242923189260685E-9,4.2351006447018675E-8,0.004973657757957748,0.9805004647422246,7.842514999573615E-4,2.1682013769047605E-16,0.013741579405930373,2916,3853,"Minimum","HOLILLA ",319.99,5,"black",,"100% leather",,"Do not tumble dry, Do not wash","Peter pan collar",,"Button",,,"Plain",,"Short","Elbow length","Elbow length","38.0 "" (Size 8)","Loose Fit","Loose fit","Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)","No","No","No","No","No","edgy"
"edgy",3.699006601566644E-9,2.917528682936881E-7,4.26262146682192E-6,0.999990395193093,1.7687719111810695E-7,2.2714046244289978E-11,4.86983366017752E-6,2917,3854,"Juicy Couture","DRESS ",64.99,2,"black","Velvet/velour","94% polyester, 6% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,"Bodycon dresses","Low v-neck","Plain",,"Extra short","Sleeveless","Sleeveless","32.0 "" (Size S)","Bodycon","Slim fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","edgy"
"alternative",0.3711727449755487,0.24776725246972892,0.001278454437154284,0.3469224731030874,0.03178847618185879,8.594480455074842E-4,2.111507871144393E-4,2918,3855,"Vero Moda","VMOLLA ",29.74,1,"army green",,"100% cotton",,,,,"Laces",,"Low v-neck","Plain",,"Short","25.0 "" (Size 14)","Long","35.0 "" (Size 14)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 14",,"No","No","No","No","No","edgy"
"girly",4.496490834960644E-27,5.503098785873891E-23,1.1072590024995995E-9,1.507746898677698E-9,0.9996855262585819,4.807580247549536E-41,3.1447112641232655E-4,2919,3856,"Needle & Thread","FLORAL DAZE V NECK ANKLE GOWN ",599.99,5,"pastel yellow","Tulle","100% polyester","100% polyester","Dry cleanable",,,"Zip",,"Low v-neck","Plain","Slip, sequins","Maxi/long","24.5 "" (Size 8)","Long","56.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 8",,"No","No","yes","No","No","girly"
"classic",1.2163053818164142E-6,1.1691039119073027E-5,0.9994820679935297,2.228931585331957E-4,8.471679670041633E-6,6.727086001671616E-10,2.736591510574163E-4,2920,3857,"Seidensticker","MIDI ",149.99,4,"navy",,"100% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button",,"Round neckline","Plain","Slip","Knee length","Elbow length","Elbow length","41.5 "" (Size 10)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)","No","No","No","No","No","classic"
"classic",7.831920274413498E-7,0.002701781622909269,0.9737300606476128,0.0232451448057042,2.5457965406116908E-6,6.467071687519595E-13,3.196839345589883E-4,2921,3858,"MICHAEL Michael Kors","CHEETAH DOWN MIDI ",234.99,5,"burgundy",,"100% polyester","100% polyester","Machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button","Accentuating the waist","Low v-neck","Animal Prints in general","Belt included, slip","Calf length","25.0 "" (Size S)","Long","48.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)","No","No","No","No","No","classic"
"edgy",1.794984475886875E-5,1.0402089953876063E-4,3.902492538973546E-4,0.996867199006682,0.0012750081920133278,7.609241375881336E-18,0.0013455728031098496,2922,3859,"Ralph Lauren","PLAID GEORGETTE DRESS ",219.99,5,"black multi-coloured","Chiffon","100% polyester","100% polyester","Machine wash at 30Â°C","Volant/frill collar",,,,"Low v-neck","Checked","Slip","Calf length","Elbow length","Elbow length","51.0 "" (Size 10)","Regular Fit","Regular fit",,"14.0 "" (Size 10)","Yes","No","No","No","No","edgy"
"classic",0.013268779300019039,0.101761105631262,0.49150012443789787,0.3888460311687954,4.1500996238651394E-4,1.711887791386751E-5,0.004191830621725312,2923,3860,"Ralph Lauren","PINSTRIPE ",159.99,4,"black","Jersey","59% viscose, 24% nylon, 11% polyester, 6% elastane",,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,"Zip",,"Round neckline","Striped",,"Short","24.0 "" (Size 8/10)","Long","34.5 "" (Size 8/10)","Regular Fit","Regular fit","Our model is 5' 11""  tall and is wearing size 8/10",,"No","No","No","No","No","edgy"
"trendy",4.133661648294491E-9,6.599519825656545E-10,8.10605942968981E-8,1.444035360061541E-6,1.0671334514466918E-5,2.5963969495240606E-21,0.9999877987759175,2924,3861,"Bec & Bridge","ALBA CUT OUT MIDI DRESS ",239.99,5,"black",,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, Hand wash only",,,,,"Spaghetti straps","Plain","Slip","Calf length","Spaghetti straps","Spaghetti straps","51.0 "" (Size 8)","Slim Fit","Slim fit","Our model is 5' 9""  tall and is wearing size 8",,"No","No","No","No","Yes","alternative"
"sporty",1.3281173740984338E-17,9.217012528845335E-20,5.142220731523847E-17,2.4958772131812686E-16,5.404318984340761E-22,0.9999999999999998,2.6140047295413662E-17,2925,3862,"Tommy Hilfiger","ABO REG HOODIE  ",97.99,3,"pink","Sweat","100% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Hood",,,"Hooded dresses",,"Plain","Elasticated waist, embroidery","Short","23.5 "" (Size S)","Long","33.0 "" (Size S)","Loose Fit","Loose fit",,,"No","Yes","No","No","No","sporty"
"casual chic",0.0018864509164396403,0.9387379603472237,1.651230375056479E-4,0.059142384189532014,1.8245379889540163E-5,5.742745414072045E-11,4.9836071982222024E-5,2926,3863,"NAF NAF","ENOA  ",72.24,2,"black",,"100% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Standing collar",,"Button",,"Round neckline","Plain","Elasticated waist, slip","Short","23.0 "" (Size 8)","Long",,"Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8",,"Yes","No","No","No","No","edgy"
"girly",3.0757527293201357E-13,1.0077496752968589E-10,3.6170377922466095E-5,6.088416189465986E-10,0.9999563890950295,2.7574221940238515E-18,7.439817124051022E-6,2927,3864,"Rosemunde","LONG DRESS SHORT SLEEVE ",234.99,5,"white","Lace","50% cotton, 48% polyamide, 2% elastane","100% viscose",,"Mandarin collar",,"Button",,"Round neckline","Plain","Slip, border","Maxi/long","Short","Short","72.5 "" (Size S)","Slim Fit","Slim fit",,,"Yes","No","No","No","No","girly"
"sporty",2.6382607677530236E-6,7.716464949099415E-7,5.9111541259777926E-6,8.829741894199529E-7,1.7045911057133425E-8,0.9999856625848043,4.116333706693185E-6,2928,3865,"Mamalicious Curve","MLMENA DRESS ",29.74,1,"navy","Sweat","57% cotton, 38% polyester, 5% elastane",,"Machine wash at 40Â°C, do not tumble dry",,,,,"Round neckline","Plain",,"Knee length","25.0 "" (Size 18/20)","Long","37.0 "" (Size 18/20)","Regular Fit","Regular fit",,,"No","No","No","No","No","sporty"
"casual chic",2.3073756155411474E-4,0.9243264080565055,2.2199254635505176E-4,0.0621786102058464,7.13714098217893E-4,6.228484869717357E-13,0.012328537530897977,2929,3866,"Yas","YASLONDON DRESS ",69.99,2,"brown",,"100% polyester",,"Machine wash at 30Â°C","Mandarin collar",,"Button","Accentuating the waist","Round neckline","Animal Prints in general","Belt included","Calf length","25.0 "" (Size S)","Long","48.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","trendy"
"casual chic",0.4051317861930718,0.4346794600157215,3.54715601487024E-4,0.002037023758010186,0.1577613244305604,6.409793758779431E-19,3.569000114907652E-5,2930,3867,"Faithfull the brand","KALILA MIDI DRESS ",190.0,4,"army green",,"100% viscose","100% viscose","Hand wash only",,,"Laces",,"Square neckline","Polka dot","Bust darts, slip","Calf length","Short","Short","40.0 "" (Size S)","Regular Fit","Regular fit","Our model is 6'  tall and is wearing size S","14.5 "" (Size S)","No","No","No","No","Yes","casual chic"
"edgy",3.882877000550839E-10,4.0038687528887176E-11,0.24893136938925783,0.7379338787931667,8.263999775804574E-4,8.752825577270992E-21,0.012308351411668502,2931,3868,"Diane von Furstenberg","NEW JULIAN TWO ",480.0,5,"bright multi-coloured",,"100% silk",,"Dry clean only",,,"Belt","Wrap dresses","Low v-neck","Floral",,"Knee length","18.0 "" (Size S)","Elbow length","37.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size S",,"No","No","No","No","No","classic"
"alternative",0.9837388204164215,0.0025439343073795275,0.013548063065735987,1.5739569960244892E-4,5.389915026728956E-9,2.0638227434269287E-7,1.1574738671138257E-5,2932,3869,"Tommy Hilfiger","CHAMBRAY DRESS ",94.99,3,"denim","Denim","100% cotton",,"Machine wash at 30Â°C","Turn-down collar",,"Button","Button down dresses",,,,"Short","24.5 "" (Size S)","Long","34.5 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","alternative"
"trendy",2.3733654447926457E-10,1.0066426488237397E-8,0.09962776123513614,0.009365060306629109,0.03209470431395854,2.5624791448355757E-21,0.8589124638405132,2933,3870,"IVY & OAK","DIVINIA ",379.99,5,"navy",,"74% viscose, 18% polyamide, 8% polyester","100% viscose","Dry clean only",,,"Button",,"Low v-neck","Plain","Bust darts, slip","Maxi/long","25.0 "" (Size 8)","Long","55.5 "" (Size 8)","Regular Fit","Regular fit",,"14.5 "" (Size 8)","No","No","No","No","No","trendy"
"alternative",0.7313491695596216,0.05422066490272469,0.006341244165462285,7.839003471067075E-5,0.0013049495148437678,1.0538787830797156E-7,0.2067054764347587,2934,3871,"Mango","PRISCIL ",29.99,1,"red",,"100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C, Dry cleanable",,,"Drawstring fastening",,"Low v-neck","Plain","Elasticated waist, slip","Short","Long","Long",,"Regular Fit","Regular fit",,,"No","No","No","No","No","alternative"
"alternative",0.9754669625818638,0.018744566062461783,2.3298635438393156E-4,3.234413207378264E-4,5.068194878242886E-5,0.005161922039879584,1.943969189055739E-5,2935,3872,"Superdry","Day dress",22.5,1,"red",,"65% viscose, 30% polyamide, 5% elastane",,,,,,,"Round neckline","Plain",,"Knee length","Long","Long",,"Regular Fit","Regular fit",,,"No","No","No","No","No","alternative"
"casual chic",2.5233343667835835E-5,0.8513788479455245,0.0016055505199385428,1.577635354756019E-5,6.59252434268075E-5,1.9517268053446638E-11,0.1469086665743775,2936,3873,"Scotch & Soda","PRINTED SLEEVED MIDI DRESS WITH SMOCKING ",184.99,4,"green",,"100% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Low round neckline","Floral",,"Calf length","24.0 "" (Size S)","Long","47.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","casual chic"
"trendy",0.003914446846891841,0.021835776134250976,8.427208284128079E-4,5.591061260111239E-6,0.038586995513318005,1.3995862287676745E-10,0.9348144694759076,2937,3874,"Gina Tricot","MOA DRESS ",59.99,2,"pastel green",,"100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C",,,"Laces","Wrap dresses","Low v-neck","Plain","Slip","Calf length","Short","Short","46.5 "" (Size 8)","Regular Fit","Regular fit",,"13.0 "" (Size 8)","No","No","No","No","No","trendy"
"edgy",6.874951071839904E-6,2.4954953545247176E-4,5.024612458382903E-8,0.999743434069219,1.0762260742067289E-8,4.715102835974845E-9,7.572076866109714E-8,2938,3875,"GAP","FLOUNCE DRESS ",46.74,2,"brown",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Round neckline","Animal Prints in general",,"Extra short","22.0 "" (Size S)","Long","32.5 "" (Size S)","Loose Fit","Loose fit",,"15.5 "" (Size S)","No","No","No","No","No","edgy"
"trendy",2.4376013958693257E-4,5.672130761729954E-5,4.632017483871235E-8,0.011726624090725479,3.161073989023868E-5,7.070125901816802E-10,0.9879412366949926,2939,3876,"Gina Tricot","LIO DRESS ",25.99,1,"black","Jersey","95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,,,"Square neckline","Plain",,"Extra short","Spaghetti straps","Spaghetti straps","38.5 "" (Size 14)","Slim Fit","Slim fit",,,"No","No","No","No","No","edgy"
"girly",1.2076426125234989E-17,1.1360906999710675E-15,1.003242616693085E-6,7.672970056019516E-11,0.9998183513287299,1.9675100587887503E-26,1.8064535192266107E-4,2940,3877,"Adrianna Papell","HALTER BEADED GOWN ",334.99,5,"sand","Tulle","100% polyester","100% polyester","Hand wash only","Standing collar",,"Zip",,"Round neckline",,"Bust darts, slip, sequins, rhinestones","Maxi/long","Sleeveless","Sleeveless","59.0 "" (Size 8)","Slim Fit","Slim fit","Our model is 5' 10""  tall and is wearing size 8",,"No","No","yes","No","Yes","girly"
"edgy",4.8640660278491145E-5,1.5206246361662106E-6,0.0010907263819221191,0.988406460113958,1.4249961527935516E-6,7.168783448403724E-16,0.010451227223051725,2941,3878,"DAY Birger et Mikkelsen","Day dress",209.99,5,"black/green",,"100% polyester",,"Machine wash at 30Â°C","Standing collar",,"Button",,,"Prints in general",,"Calf length","18.0 "" (Size 8)","Elbow length","46.5 "" (Size 8)","Regular Fit","Regular fit",,"23.5 "" (Size 8)","No","No","No","No","No","edgy"
"classic",2.3444014372402114E-5,0.1187671569924897,0.8805175103681819,3.26595199798631E-4,1.8855821568593888E-4,2.8320130475602913E-9,1.7673237745827915E-4,2942,3879,"Mos Mosh","VALLEY STRIPE DRESS ",169.99,4,"navy",,"100% viscose",,,"Standing collar",,,,"V-neck","Plain",,"Calf length","23.5 "" (Size S)","Long","46.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)","No","No","No","No","No","classic"
"classic",9.343939219215317E-4,0.021318668232350752,0.9741092024657214,0.0014496786856182178,0.0011398276866412785,4.4266158359297176E-7,0.0010477863461632762,2943,3880,"Only","CARLAICE KNEE DRESS ",37.39,1,"black","Lace","95% polyester, 5% elastane","100% polyester","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Standing collar",,"Button",,,"Plain","Slip","Knee length","Long","Long",,"Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size S-14/16",,"No","No","No","No","No","classic"
"trendy",0.14491240122668728,0.04753404273356088,0.1406187092111065,0.040694510827646864,6.408359748805236E-4,3.109918693723969E-8,0.625599468926931,2944,3881,"Mango","ELVIS ",39.99,1,"brown",,"100% polyester",,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable",,,,,"Low v-neck","Animal Prints in general",,"Calf length","Long","Long",,"Regular Fit","Regular fit",,,"No","No","No","No","No","alternative"
"girly",5.312422505148739E-9,1.4461335665762745E-8,1.9107225122217954E-5,6.290007926422927E-7,0.9986445265623168,7.561524170279104E-20,0.0013357174380101517,2945,3882,"CHIARA FERRAGNI","DRESS ",285.0,5,"pink",,"100% polyester","100% polyester","Hand wash only",,,"Zip",,"Low v-neck","Floral","Bust darts, slip","Short","27.0 "" (Size 10)","Long","34.0 "" (Size 10)","Regular Fit","Regular fit",,"14.0 "" (Size 10)","No","No","No","No","No","girly"
"girly",2.195568575256209E-5,1.0461502083023236E-5,8.145235602613772E-8,1.0220986213331659E-5,0.8532665308378017,1.6765796680968385E-19,0.14669074953579336,2946,3883,"Lace & Beads","MARSTA ",99.99,3,"black multi-coloured","Tulle","100% polyester","100% polyester","Do not tumble dry, Hand wash only",,,"Zip",,"Spaghetti straps",,"Adjustable straps, slip, sequins","Calf length","Spaghetti straps","Spaghetti straps","35.5 "" (Size 8)","Slim Fit","Slim fit","Our model is 5' 10""  tall and is wearing size 8",,"No","No","yes","No","Yes","alternative"
"edgy",7.531202345607225E-9,3.205005254543294E-8,0.019035519632836857,0.962360897741665,2.9179822635117486E-5,1.2160261164651735E-6,0.018573147195491795,2947,3884,"TWINSET","DRESS ",204.99,5,"white","Jersey","68% viscose, 27% polyamide, 5% elastane",,"Dry clean only","Hood",,,"Hooded dresses",,,"Belt included, inseam pockets","Short","25.0 "" (Size 8)","Long","35.0 "" (Size 8)","Loose Fit","Loose fit","Our model is 5' 9""  tall and is wearing size 8",,"No","yes","No","No","No","unknown"
"girly",1.342962641331287E-6,0.0023713805874091645,0.03464741046618092,4.453528798225608E-8,0.9629797946842944,2.1419915839492507E-18,2.6764186222282463E-8,2948,3885,"Part Two","CLAIRES ",89.99,3,"blue",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,"Laces","Wrap dresses","Low v-neck","Polka dot","Bust darts","Knee length","19.0 "" (Size 8)","Elbow length","40.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)","No","No","No","No","No","girly"
"alternative",0.5510224421370973,0.4086005538251187,0.02063377708420841,0.005436463602757002,6.599562214358544E-5,4.040217987683528E-10,0.014240767324653217,2949,3886,"Mango","FIFTY ",39.99,1,"black multi-coloured",,"100% polyester",,"Machine wash at 40Â°C, do not tumble dry, Dry cleanable",,,"Button",,"Round neckline","Prints in general",,"Thigh length","Long","Long",,"Regular Fit","Regular fit",,,"No","No","No","No","No","alternative"
